,SRR1463325,SRR1463326,SRR1463334,SRR1463335
AT1G01010,30,9,6,15
AT1G01020,30,10,63,22
AT1G01030,163,370,13,103
AT1G01040,411,148,181,248
AT1G01046,0,0,0,0
AT1G01050,49,115,0,16
AT1G01060,2844,1837,77,1102
AT1G01070,0,0,0,0
AT1G01073,0,0,0,0
AT1G01080,66,73,68,5
AT1G01090,491,254,17,87
AT1G01100,387,335,128,38
AT1G01110,11,1,0,0
AT1G01115,0,0,0,0
AT1G01120,2397,2680,470,673
AT1G01130,20,19,0,1
AT1G01140,3962,1707,310,750
AT1G01150,0,0,0,0
AT1G01160,43,24,40,41
AT1G01170,42,36,3,4
AT1G01180,27,91,36,33
AT1G01183,0,0,0,0
AT1G01190,0,0,0,0
AT1G01200,0,0,0,11
AT1G01210,9,0,0,3
AT1G01220,101,13,8,55
AT1G01225,6,0,0,0
AT1G01230,32,24,328,57
AT1G01240,37,13,21,37
AT1G01250,1,0,0,0
AT1G01260,248,123,474,1139
AT1G01270,0,0,0,0
AT1G01280,6,0,0,0
AT1G01290,9,16,14,6
AT1G01300,36,2,0,7
AT1G01305,0,0,0,0
AT1G01310,31,55,0,1
AT1G01320,10364,2423,204,153
AT1G01340,125,51,0,1
AT1G01350,87,23,46,25
AT1G01355,0,1,0,0
AT1G01360,68,25,91,30
AT1G01370,3,0,1,2
AT1G01380,0,0,0,0
AT1G01390,0,4,0,0
AT1G01400,0,0,0,0
AT1G01410,0,0,0,0
AT1G01420,0,0,0,0
AT1G01430,28,0,27,13
AT1G01440,23,1,105,51
AT1G01448,88,23,23,140
AT1G01450,83,21,33,114
AT1G01453,0,0,0,0
AT1G01460,0,5,0,0
AT1G01470,321,196,226,52
AT1G01471,0,0,0,0
AT1G01480,35,5,322,97
AT1G01490,309,263,1375,1015
AT1G01500,35,43,7,124
AT1G01510,76,49,3,14
AT1G01520,3,12,0,0
AT1G01530,0,0,0,0
AT1G01540,176,111,17,41
AT1G01550,1496,963,1253,1587
AT1G01560,183,74,277,16
AT1G01570,10,3,18,0
AT1G01580,8,2,0,0
AT1G01590,0,0,0,0
AT1G01600,3,1,0,0
AT1G01610,117,68,121,257
AT1G01620,1656,1470,8,23
AT1G01630,24,31,9,129
AT1G01640,35,5,0,0
AT1G01650,1087,797,1010,461
AT1G01660,2,0,0,0
AT1G01670,0,4,0,0
AT1G01680,0,0,0,0
AT1G01690,0,1,0,0
AT1G01695,0,0,0,0
AT1G01700,0,38,0,19
AT1G01710,229,69,521,74
AT1G01720,19438,12478,5180,10742
AT1G01725,14535,6923,430,491
AT1G01730,3507,1324,149,130
AT1G01740,4647,1627,141,108
AT1G01750,126,82,22,4
AT1G01760,171,39,2,41
AT1G01770,443,149,118,337
AT1G01780,35,30,47,9
AT1G01790,1020,511,17,11
AT1G01800,118,100,14,81
AT1G01810,2,1,0,1
AT1G01820,130,23,275,103
AT1G01830,16,18,0,147
AT1G01840,0,0,0,0
AT1G01860,15,2,0,0
AT1G01870,0,0,0,0
AT1G01880,5,4,0,18
AT1G01890,0,0,0,0
AT1G01900,89,20,181,360
AT1G01910,77,22,214,47
AT1G01920,31,45,13,18
AT1G01930,113,26,16,73
AT1G01940,55,21,159,150
AT1G01950,182,158,1,88
AT1G01960,279,172,129,301
